NAME,ref_G,ref_FGA,ref_FTA,ref_PF,ref_PTS,ref_FGA_pgrel,ref_FTA_pgrel,ref_PF_pgrel,ref_PTS_pgrel,ref_home_win_loss,ref_home_FGA,ref_home_FTA,ref_home_PF,ref_home_PTS,ref_away_win_loss,ref_away_FGA,ref_away_FTA,ref_away_PF,ref_away_PTS,ref_win_loss_hvrel,ref_FGA_hvrel,ref_FTA_hvrel,ref_PF_hvrel,ref_PTS_hvrel
Ray Acosta,374,175.3296791,46.35427807,40.12834225,223.2229947,-1.223262032,0.828877005,-0.061764706,-0.832085561,0.574794118,88.15588235,23.40320856,19.7644385,112.6815508,0.425205882,87.18930481,22.96791444,20.34839572,110.5665775,0.012414439,0.993582888,-0.059090909,-0.289304813,-0.034491979
Brandon Adair,290,177.6589655,43.56758621,38.20172414,222.0496552,0.806551724,-1.981724138,-1.913793103,-2.783448276,0.531106897,88.73482759,21.76862069,19.16413793,111.2393103,0.468893103,88.90448276,21.8137931,19.00241379,110.8358621,-0.071037931,-0.136206897,-0.571034483,0.463103448,-1.618965517
Brent Barnaky,818,171.2255501,44.86124694,39.40012225,212.3255501,-0.159413203,-1.003422983,-0.879706601,-0.244987775,0.563617359,85.38899756,22.92836186,19.45635697,107.1652812,0.436382641,85.83765281,21.93239609,19.96295844,105.1764059,-0.031239609,-0.387408313,0.256968215,-0.004889976,-0.505134474
Curtis Blair,896,170.2719866,45.69095982,40.22053571,210.5132813,-0.104910714,-0.52265625,-0.227678571,-0.693638393,0.555774554,85.04564732,23.40212054,19.8671875,106.1106027,0.444225446,85.20122768,22.29129464,20.35502232,104.4082589,-0.051197545,-0.109933036,0.290178571,0.048325893,-0.809040179
Matt Boland,1192,168.080453,47.68288591,41.96996644,205.6830537,0.59135906,0.110738255,0.536493289,-0.783473154,0.571363255,84.12667785,24.06736577,20.82877517,103.9034396,0.428636745,83.97558725,23.61493289,21.15008389,101.792198,-0.03308557,0.12659396,-0.507634228,0.32885906,-0.639848993
Tony Brothers,1804,165.537306,49.10587583,42.61186253,203.1608093,-0.123115299,0.696895787,0.291019956,0.576662971,0.578783259,82.92505543,24.96807095,20.99035477,102.8930155,0.421252217,82.60421286,24.13614191,21.63736142,100.2767184,-0.026045455,0.179600887,-0.07732816,-0.030044346,-0.268569845
Nick Buchert,814,170.2595823,46.22518428,40.75982801,211.7418919,-1.048402948,0.368427518,0.467444717,-0.662407862,0.57987715,84.95233415,23.47469287,20.11855037,107.0007371,0.42012285,85.32874693,22.75761671,20.63513514,104.72543,0.00147543,-0.302211302,-0.042260442,0.011425061,-0.192137592
John Butler,219,178.0575342,45.88767123,39.52191781,224.9013699,1.293150685,0.273972603,-0.378082192,-0.805479452,0.566369863,89.03561644,22.79315068,19.74246575,113.3712329,0.434068493,89.0260274,23.09041096,19.75890411,111.5260274,0.005068493,0.095890411,-0.816438356,0.221917808,-0.179452055
James Capers Jr.,1653,166.0717483,47.57519661,42.10090744,201.2208711,0.559165154,-0.708348457,-0.168844525,-0.725166364,0.628503327,83.12123412,24.39213551,20.61760436,102.2155475,0.371496673,82.93448276,23.17495463,21.47725348,98.98802178,0.072914701,0.054506957,0.294071385,-0.259951603,0.338656987
Derrick Collins,1335,167.1453933,47.12644195,41.19153558,204.227191,0.481048689,-0.387041199,-0.366516854,0.274082397,0.592526592,83.41460674,24.11625468,20.22561798,103.5354307,0.407473408,83.7352809,23.01423221,20.95123596,100.6870412,0.005225468,-0.371011236,0.173932584,-0.1,0.0082397
John Conley,134,176.6477612,45.48208955,40.1738806,225.9089552,0.037313433,-0.175373134,0.491044776,-0.4,0.522574627,88.68059701,22.79477612,20.16791045,113.6567164,0.477425373,87.96716418,22.68731343,20,112.2044776,-0.084619403,0.803731343,-0.415671642,0.390298507,-0.573880597
Sean Corbin,1608,164.9388682,49.43264925,42.67904229,202.2075871,-0.340858209,0.552425373,0.015174129,0.364552239,0.625011194,82.35304726,25.66753731,20.79371891,102.8861318,0.374988806,82.5965796,23.76330846,21.87835821,99.32300995,0.06419403,-0.378109453,0.962810945,-0.477549751,0.642226368
Kevin Cutler,776,171.5068299,45.37667526,39.90528351,212.7479381,0.33556701,-0.455541237,-0.377190722,0.651546392,0.57723067,85.59536082,23.44188144,19.36829897,107.7555412,0.42276933,85.92731959,21.95,20.52332474,105.0079897,-0.003833763,-0.280798969,0.760695876,-0.583891753,0.266237113
Mousa Dagher,239,176.0338912,45.74937238,40.70585774,225.6355649,-0.910041841,0.148953975,0.617991632,0.40209205,0.531276151,88.42594142,22.31589958,20.51589958,113.9995816,0.468857741,87.63138075,23.4334728,20.18995816,111.6912134,-0.068468619,0.917573222,-1.633472803,0.59790795,0.248117155
Eric Dalen,792,170.3941919,44.53131313,38.8584596,207.0606061,0.699368687,-1.839520202,-1.652777778,-2.71780303,0.583291667,85.10871212,22.68762626,19.07916667,104.6914141,0.416708333,85.27739899,21.84368687,19.79027778,102.3691919,2.65E-05,-0.111111111,-0.049368687,-0.123989899,-0.239393939
Marc Davis,1586,166.7906683,47.59413619,40.95409836,203.5716267,0.319041614,-0.237894073,-0.910466583,-0.073833544,0.582656368,83.30775536,24.29659521,20.27717528,102.9428752,0.417383985,83.48732661,23.30119798,20.6741488,100.6288146,-0.017611602,-0.24627995,0.090226986,0.198297604,-0.544766709
J.B. DeRosa,384,178.3981771,45.69036458,40.20989583,225.4575521,1.886458333,0.236458333,0.079427083,1.466666667,0.596294271,89.25130208,23.0234375,20.03567708,113.8057292,0.403705729,89.16328125,22.6875,20.22135417,111.6518229,0.056929688,0.13671875,-0.184895833,0.12734375,0.059635417
Mitchell Ervin,507,174.5820513,49.04871795,42.3270217,222.9798817,-0.43234714,3.420315582,2.163116371,2.677120316,0.562071006,87.85483235,24.99625247,21.00216963,112.4412229,0.437928994,86.72721893,24.05285996,21.31558185,110.5512821,-0.019313609,1.187573964,0.341814596,0.107692308,-0.416568047
Cheryl Flores,70,176.3,45.5,39.7,226.9,-0.3,-1.6,-0.3,-2.5,0.457,88.3,22.3,20.6,114.5,0.543,87.9,23.2,19.1,112.4,-0.248,0.4,-1.5,1.8,-0.4
Tyler Ford,533,173.2851782,47.30056285,41.29061914,220.4786116,-1.603752345,1.706941839,1.117073171,0.583677298,0.570386492,86.27636023,24.38742964,20.25103189,111.6268293,0.429613508,87.00881801,22.87767355,21.06322702,108.8283302,-0.004489681,-0.670731707,0.886491557,-0.40619137,0.490243902
Brian Forte,1019,169.9612365,46.03464181,40.21138371,209.0480864,0.092541708,-0.356820412,-0.311187439,-1.201668302,0.55742002,84.9686948,23.17389598,19.89960746,105.6874387,0.44257998,84.99244357,22.86545633,20.32158979,103.3735034,-0.051106968,0.016486752,-0.533562316,0.142198234,-0.270068695
Scott Foster,1816,165.13337,48.90814978,43.10534141,202.2329295,-0.321255507,0.44284141,0.751596916,0.054845815,0.601918502,82.68171806,24.87863436,21.31784141,102.652533,0.398081498,82.45864537,24.02367841,21.79460352,99.57676211,0.018889317,0.084140969,-0.074229075,0.13722467,0.16376652
Pat Fraher,1369,166.6625274,48.0723886,41.30182615,205.0401753,-0.271365961,0.464572681,-0.231482834,0.113805698,0.612200877,83.47932798,24.46669102,20.32505478,104.0490139,0.387799123,83.16457268,23.60058437,20.96749452,100.9965668,0.043740687,0.244923302,-0.075675676,-0.002191381,0.200146092
Jacyn Goble,414,174.4968599,48.22077295,40.90797101,224.2847826,-1.372222222,2.770289855,0.822463768,1.730193237,0.613644928,87.21908213,24.63743961,20.09565217,113.8403382,0.386355072,87.30772947,23.5678744,20.8205314,110.4241546,0.088007246,-0.026086957,0.538405797,-0.348067633,1.219806763
John Goble,1055,170.1252133,46.26815166,40.81810427,209.3649289,0.761327014,-0.272132701,0.23450237,0.002938389,0.600004739,85.1842654,23.39033175,20.18559242,106.2488152,0.399995261,84.95364929,22.88957346,20.63023697,103.1229384,0.031108057,0.278104265,-0.398672986,0.163696682,0.498199052
Jason Goldenberg,301,175.027907,46.76943522,41.04950166,225.1106312,-1.291362126,1.321594684,0.879401993,1.686378738,0.624734219,87.26877076,23.90265781,20.20066445,114.5524917,0.375265781,87.76046512,22.84086379,20.84119601,110.5445183,0.10910299,-0.432890365,0.568106312,-0.308637874,1.857807309
Nate Green,180,176.9766667,44.81222222,39.18777778,223.8338889,0.15,-0.718333333,-0.691111111,-1.799444444,0.4887,88.33555556,22.50833333,19.42222222,111.5944444,0.5113,88.64611111,22.35944444,19.72555556,112.2238889,-0.147494444,-0.203888889,-0.407222222,-0.015,-2.579444444
David Guthrie,1072,168.2733209,47.11613806,40.89440299,208.9001866,-0.170895522,-0.077705224,-0.203358209,0.459328358,0.564287313,84.19645522,23.96548507,20.22080224,105.5196828,0.435712687,84.07126866,23.14328358,20.66968284,103.3648321,-0.042194963,0.107182836,-0.081996269,0.181623134,-0.538432836
Brent Haskill,12,179.3,46.5,39.8,231.8,2.7,-0.6,-0.2,2.4,0.5,89.3,24.7,19,117.5,0.5,90,21.8,20.8,114.3,-0.162,-0.7,2.2,-1.5,0.7
Lauren Holtkamp-Sterling,383,173.3806789,45.68798956,40.04125326,215.464752,0.682245431,0.329503916,0.103655352,0.546214099,0.566441253,86.3078329,23.354047,19.82637076,108.4488251,0.433558747,87.0381201,22.37258486,20.20443864,106.9947781,-0.010214099,-0.664490862,0.277284595,0.061618799,-0.788772846
