sep_id,season_year,W,L,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,three_PAr,OeFG,OTOV_percentage,ORB_percentage,OFT_FG_percentage,DeFG,DTOV_percentage,DRB_percentage,DFT_FG_percentage,Rk,G,FG,FGA,FGp,threeP,threePA,threePp,twoP,twoPA,twoPp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1610612759,2016,67,15,10.63,-0.36,10.28,110.3,99,93.8,0.246,0.223,0.526,12.4,23,0.197,0.477,14.1,79.1,0.182,10,82,40.1,82.9,0.484,7,18.5,0.375,33.2,64.4,0.515,16.4,20.4,0.803,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5
1610612744,2016,73,9,10.76,-0.38,10.38,114.5,103.8,99.3,0.25,0.362,0.563,13.5,23.5,0.191,0.479,12.6,76,0.208,1,82,42.5,87.3,0.487,13.1,31.6,0.416,29.4,55.7,0.528,16.7,21.8,0.763,10,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9
1610612760,2016,55,27,7.28,-0.19,7.09,113.1,105.6,96.7,0.292,0.275,0.524,14,31.1,0.228,0.484,11.7,76,0.205,2,82,41.1,86.4,0.476,8.3,23.7,0.349,32.9,62.6,0.524,19.7,25.2,0.782,13.1,35.6,48.6,23,7.4,5.9,15.9,20.6,110.2
1610612739,2016,57,25,6,-0.55,5.45,110.9,104.5,93.3,0.259,0.352,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,8,82,38.7,84,0.46,10.7,29.6,0.362,27.9,54.4,0.514,16.3,21.7,0.748,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3,104.3
1610612761,2016,56,26,4.5,-0.42,4.08,110,105.2,92.9,0.328,0.287,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,13,82,36.7,81.3,0.451,8.6,23.4,0.37,28,58,0.483,20.8,26.7,0.777,10.2,33.2,43.4,18.7,7.8,5.5,13.1,19.6,102.7
1610612746,2016,53,29,4.28,-0.15,4.13,108.3,103.8,95.8,0.318,0.324,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,7,82,38.3,82.4,0.465,9.7,26.7,0.364,28.6,55.7,0.513,18.2,26.2,0.692,8.8,33.3,42,22.8,8.6,5.6,13,21.3,104.5
1610612737,2016,48,34,3.61,-0.12,3.49,105.1,101.4,97.1,0.237,0.336,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,12,82,38.6,84.4,0.458,9.9,28.4,0.35,28.7,56.1,0.512,15.6,20,0.783,8.3,33.8,42.1,25.6,9.1,5.9,15,19.1,102.8
1610612738,2016,48,34,3.21,-0.37,2.84,106.8,103.6,98.5,0.264,0.293,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,5,82,39.2,89.2,0.439,8.7,26.1,0.335,30.5,63.1,0.483,18.5,23.5,0.788,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7
1610612766,2016,48,34,2.72,-0.36,2.36,107.1,104.3,95.7,0.28,0.348,0.502,11.7,20,0.222,0.496,12.5,79.8,0.191,11,82,37,84.4,0.439,10.6,29.4,0.362,26.4,55,0.479,18.7,23.7,0.79,9,35,43.9,21.7,7.3,5.3,12.6,18.1,103.4
1610612762,2016,40,42,1.79,0.05,1.84,105.9,103.9,91,0.286,0.297,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,28,82,36.1,80.4,0.449,8.5,23.9,0.355,27.6,56.5,0.488,17.1,23,0.744,10.7,32.5,43.2,19,7.7,5.2,14.9,20.2,97.7
1610612748,2016,48,34,1.65,-0.14,1.5,106.1,104.4,93.6,0.282,0.221,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,23,82,38.4,81.7,0.47,6.1,18,0.336,32.3,63.6,0.508,17.1,23,0.744,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3,100
1610612754,2016,45,37,1.71,-0.09,1.62,104.6,102.9,96.6,0.268,0.27,0.497,13.5,23.4,0.205,0.489,14.3,76,0.205,17,82,38.3,85.2,0.45,8.1,23,0.351,30.2,62.1,0.486,17.4,22.8,0.764,10.3,33.9,44.2,21.2,9,4.8,14.9,20,102.2
1610612757,2016,44,38,0.83,0.15,0.98,108.8,108,96,0.268,0.332,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,6,82,38.6,85.9,0.45,10.5,28.5,0.37,28.1,57.4,0.49,17.4,23,0.754,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7,105.1
1610612765,2016,44,38,0.61,-0.18,0.43,106.1,105.5,95.1,0.296,0.303,0.491,12.2,27,0.197,0.504,12.5,79.3,0.196,19,82,37.9,86.4,0.439,9,26.2,0.345,28.9,60.2,0.48,17.1,25.5,0.668,12.5,33.9,46.3,19.4,7,3.7,13.5,19,102
1610612745,2016,41,41,0.2,0.14,0.34,108.3,108.1,97.6,0.352,0.37,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.219,4,82,37.7,83.5,0.452,10.7,30.9,0.347,27,52.6,0.514,20.4,29.4,0.694,11.3,31.7,43.1,22.2,10,5.2,15.9,21.8,106.5
1610612742,2016,42,40,-0.3,0.29,-0.02,106.7,107,94.3,0.265,0.339,0.502,12,20.6,0.211,0.504,12.8,76.2,0.198,16,82,37.4,84.1,0.444,9.8,28.6,0.344,27.5,55.6,0.495,17.7,22.3,0.794,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,102.3
1610612764,2016,41,41,-0.5,0,-0.5,105.3,105.8,98.5,0.263,0.282,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,9,82,39.5,85.8,0.46,8.6,24.2,0.358,30.8,61.6,0.501,16.5,22.5,0.73,9.1,32.8,41.8,24.5,8.6,3.9,14.5,20.8,104.1
1610612741,2016,42,40,-1.48,0.01,-1.46,105,106.5,95.7,0.24,0.244,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182,21,82,38.6,87.4,0.441,7.9,21.4,0.371,30.7,66.1,0.464,16.5,21,0.787,11.1,35.2,46.3,22.8,6,5.7,13.9,18.8,101.6
